ssid,bssids,peak_dbm,observations
CP1300-938B59,1,-51.0,37
US-CYL4667KK6,1,-55.0,9
DIRECT-B1-HP PageWide Pro 477dw,1,-58.0,26
Devirajathi's S25 Ultra,1,-60.0,6
Violet,5,-62.0,10
TMOBILE-3500KJ,3,-64.0,7
CP1300-9715CD,1,-65.0,13
Louis’s iPhone,1,-70.0,3
Link,1,-72.0,10
FamilyGlory,1,-73.0,2
VeryHappyFunFamily,1,-74.0,3
xfinitywifi,2,-75.0,3
VeryHappyEero,3,-75.0,6
VeryHappyFamily Guest,3,-76.0,7
DIRECT-roku-202-C9A0DC,1,-76.0,2
DIRECT-C4-HP Color LJ 4301,1,-77.0,6
iot,2,-78.0,3
Violet 2G,3,-78.0,3
Verizon_44LJJS,2,-79.0,6
Xfinity Mobile,1,-81.0,2
VeryHappyFunFamily5G,1,-86.0,1
DanielHurley,1,-87.0,1
ASUS17,2,-88.0,4
