floor,point_id,ssid,bssid,rssi_dbm,channel,width_mhz,band,security_string
Ground,1,Plainsboro-Public-Library,8a:15:04:53:49:70,-41.0,6,20,2.4GHz,[ESS][Unknown]
Ground,1,[Hidden],8a:15:04:53:49:7f,-41.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,1,Plainsboro-Public-Library,8a:15:04:52:23:c0,-46.0,6,20,2.4GHz,[ESS][Unknown]
Ground,1,[Hidden],8a:15:04:53:49:4f,-48.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,1,[Hidden],8a:15:04:51:e6:2f,-49.0,1,20,2.4GHz,[WEP][ESS][WEP]
Ground,1,Plainsboro-Public-Library,8a:15:04:53:33:90,-49.0,6,20,2.4GHz,[ESS][Unknown]
Ground,1,[Hidden],8a:15:14:53:49:7f,-49.0,157,40,5GHz,[WEP][ESS][WEP]
Ground,1,Plainsboro-Public-Library,8a:15:04:51:e6:20,-49.0,1,20,2.4GHz,[ESS][Unknown]
Ground,1,Plainsboro-Public-Library,8a:15:04:53:49:40,-49.0,6,20,2.4GHz,[ESS][Unknown]
Ground,1,Plainsboro-Public-Library,8a:15:14:53:49:70,-50.0,157,40,5GHz,[ESS][Unknown]
Ground,1,Plainsboro-Public-Library,8a:15:04:53:3c:30,-51.0,11,20,2.4GHz,[ESS][Unknown]
Ground,1,[Hidden],8a:15:14:52:23:cf,-52.0,153,20,5GHz,[WEP][ESS][WEP]
Ground,1,[Hidden],8a:15:04:53:3c:3f,-54.0,11,20,2.4GHz,[WEP][ESS][WEP]
Ground,1,Plainsboro-Public-Library,8a:15:14:52:23:c0,-55.0,153,20,5GHz,[ESS][Unknown]
Ground,1,[Hidden],8a:15:14:53:49:4f,-56.0,48,80,5GHz,[WEP][ESS][WEP]
Ground,1,[Hidden],8a:15:14:53:33:9f,-58.0,36,80,5GHz,[WEP][ESS][WEP]
Ground,1,Plainsboro-Public-Library,8a:15:14:51:e6:20,-58.0,149,20,5GHz,[ESS][Unknown]
Ground,1,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-58.0,6,20,2.4GHz,[ESS][Unknown]
Ground,1,Plainsboro-Public-Library,8a:15:14:53:33:90,-59.0,36,80,5GHz,[ESS][Unknown]
Ground,1,Plainsboro-Public-Library,8a:15:14:53:3c:30,-59.0,108,80,5GHz,[ESS][Unknown]
Ground,1,Plainsboro-Public-Library,8a:15:14:53:49:40,-60.0,48,80,5GHz,[ESS][Unknown]
Ground,1,[Hidden],8a:15:14:53:3c:3f,-61.0,108,80,5GHz,[WEP][ESS][WEP]
Ground,1,[Hidden],e2:55:7d:bc:13:6f,-63.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,1,CP1300-9715CD,f8:a2:6d:97:15:cd,-65.0,8,20,2.4GHz,[ESS][Unknown]
Ground,1,Plainsboro-Public-Library,8a:15:04:53:3b:10,-66.0,6,20,2.4GHz,[ESS][Unknown]
Ground,1,Louis’s iPhone,32:e4:bd:47:4a:60,-70.0,6,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPA2 Personal]
Ground,1,[Hidden],8a:15:04:53:3b:1f,-73.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,1,DIRECT-B1-HP PageWide Pro 477dw,4a:ba:4e:fb:f7:b1,-77.0,6,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Ground,1,Devirajathi's S25 Ultra,36:61:bf:fc:5d:9d,-78.0,11,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPA2 Personal]
Ground,1,Plainsboro-Public-Library,e2:55:6d:bc:13:60,-79.0,108,80,5GHz,[ESS][Unknown]
Ground,1,[Hidden],e2:55:6d:bc:13:6f,-79.0,108,80,5GHz,[WEP][ESS][WEP]
Ground,1,Plainsboro-Public-Library,8a:15:04:52:1c:80,-80.0,11,20,2.4GHz,[ESS][Unknown]
Ground,1,Plainsboro-Public-Library,8a:15:14:53:3b:10,-82.0,153,80,5GHz,[ESS][Unknown]
Ground,1,[Hidden],da:55:b8:2d:e8:c4,-84.0,100,80,5GHz,[WPA2-PSK+PSK-SHA256-CCMP-256+CCMP-128][RSN-PSK+PSK-SHA256-CCMP-256+CCMP-128][ESS][WPA2 Personal]
Ground,1,Plainsboro-Public-Library,e6:55:b8:2d:e8:c4,-86.0,100,80,5GHz,[ESS][Unknown]
Ground,2,Plainsboro-Public-Library,8a:15:04:53:3c:30,-47.0,11,20,2.4GHz,[ESS][Unknown]
Ground,2,Plainsboro-Public-Library,8a:15:04:53:49:70,-47.0,6,20,2.4GHz,[ESS][Unknown]
Ground,2,[Hidden],8a:15:04:53:49:7f,-47.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,2,Plainsboro-Public-Library,8a:15:04:51:e6:20,-50.0,1,20,2.4GHz,[ESS][Unknown]
Ground,2,Plainsboro-Public-Library,8a:15:04:53:33:90,-52.0,6,20,2.4GHz,[ESS][Unknown]
Ground,2,Plainsboro-Public-Library,8a:15:04:53:49:40,-52.0,6,20,2.4GHz,[ESS][Unknown]
Ground,2,[Hidden],8a:15:14:53:3c:3f,-56.0,108,80,5GHz,[WEP][ESS][WEP]
Ground,2,Plainsboro-Public-Library,8a:15:14:53:3c:30,-58.0,108,80,5GHz,[ESS][Unknown]
Ground,2,Plainsboro-Public-Library,8a:15:14:53:49:70,-58.0,157,40,5GHz,[ESS][Unknown]
Ground,2,Plainsboro-Public-Library,8a:15:04:52:23:c0,-60.0,6,20,2.4GHz,[ESS][Unknown]
Ground,2,[Hidden],8a:15:14:51:e6:2f,-60.0,149,20,5GHz,[WEP][ESS][WEP]
Ground,2,Plainsboro-Public-Library,8a:15:14:51:e6:20,-61.0,149,20,5GHz,[ESS][Unknown]
Ground,2,Plainsboro-Public-Library,8a:15:14:53:49:40,-66.0,48,80,5GHz,[ESS][Unknown]
Ground,2,Plainsboro-Public-Library,8a:15:14:52:23:c0,-66.0,153,20,5GHz,[ESS][Unknown]
Ground,2,[Hidden],8a:15:14:53:49:4f,-66.0,48,80,5GHz,[WEP][ESS][WEP]
Ground,2,[Hidden],8a:15:14:52:23:cf,-67.0,153,20,5GHz,[WEP][ESS][WEP]
Ground,2,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-67.0,6,20,2.4GHz,[ESS][Unknown]
Ground,2,[Hidden],e2:55:7d:bc:13:6f,-68.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,2,CP1300-9715CD,f8:a2:6d:97:15:cd,-74.0,8,20,2.4GHz,[ESS][Unknown]
Ground,2,Louis’s iPhone,32:e4:bd:47:4a:60,-76.0,6,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPA2 Personal]
Ground,2,Plainsboro-Public-Library,8a:15:04:53:3b:10,-76.0,6,20,2.4GHz,[ESS][Unknown]
Ground,2,Plainsboro-Public-Library,e2:55:6d:bc:13:60,-77.0,108,80,5GHz,[ESS][Unknown]
Ground,2,[Hidden],8a:15:04:53:3b:1f,-78.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,2,[Hidden],e2:55:6d:bc:13:6f,-79.0,108,80,5GHz,[WEP][ESS][WEP]
Ground,2,DIRECT-B1-HP PageWide Pro 477dw,4a:ba:4e:fb:f7:b1,-79.0,6,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Ground,2,[Hidden],da:55:b8:2d:e8:c4,-82.0,100,80,5GHz,[WPA2-PSK+PSK-SHA256-CCMP-256+CCMP-128][RSN-PSK+PSK-SHA256-CCMP-256+CCMP-128][ESS][WPA2 Personal]
Ground,2,Plainsboro-Public-Library,e6:55:b8:2d:e8:c4,-83.0,100,80,5GHz,[ESS][Unknown]
Ground,3,[Hidden],8a:15:04:53:3c:3f,-38.0,11,20,2.4GHz,[WEP][ESS][WEP]
Ground,3,Plainsboro-Public-Library,8a:15:04:53:3c:30,-41.0,11,20,2.4GHz,[ESS][Unknown]
Ground,3,Plainsboro-Public-Library,8a:15:04:52:23:c0,-44.0,6,20,2.4GHz,[ESS][Unknown]
Ground,3,[Hidden],8a:15:14:53:3c:3f,-51.0,108,80,5GHz,[WEP][ESS][WEP]
Ground,3,Plainsboro-Public-Library,8a:15:04:53:49:70,-51.0,6,20,2.4GHz,[ESS][Unknown]
Ground,3,Plainsboro-Public-Library,8a:15:04:51:e6:20,-52.0,1,20,2.4GHz,[ESS][Unknown]
Ground,3,Plainsboro-Public-Library,8a:15:14:51:e6:20,-53.0,149,20,5GHz,[ESS][Unknown]
Ground,3,Plainsboro-Public-Library,8a:15:14:53:3c:30,-53.0,108,80,5GHz,[ESS][Unknown]
Ground,3,[Hidden],8a:15:04:53:49:4f,-53.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,3,Plainsboro-Public-Library,8a:15:04:53:49:40,-53.0,6,20,2.4GHz,[ESS][Unknown]
Ground,3,[Hidden],8a:15:14:53:49:7f,-58.0,157,40,5GHz,[WEP][ESS][WEP]
Ground,3,Plainsboro-Public-Library,8a:15:14:53:49:70,-58.0,157,40,5GHz,[ESS][Unknown]
Ground,3,[Hidden],8a:15:04:53:33:9f,-60.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,3,Plainsboro-Public-Library,8a:15:04:53:33:90,-61.0,6,20,2.4GHz,[ESS][Unknown]
Ground,3,Plainsboro-Public-Library,8a:15:14:53:33:90,-65.0,36,80,5GHz,[ESS][Unknown]
Ground,3,[Hidden],e2:55:7d:bc:13:6f,-67.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,3,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-68.0,6,20,2.4GHz,[ESS][Unknown]
Ground,3,Plainsboro-Public-Library,e2:55:6d:bc:13:60,-77.0,108,80,5GHz,[ESS][Unknown]
Ground,3,DIRECT-B1-HP PageWide Pro 477dw,4a:ba:4e:fb:f7:b1,-77.0,6,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Ground,3,Link,a0:04:60:c4:40:b3,-79.0,3,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Ground,3,[Hidden],e2:55:6d:bc:13:6f,-79.0,108,80,5GHz,[WEP][ESS][WEP]
Ground,4,Plainsboro-Public-Library,8a:15:04:53:3c:30,-46.0,11,20,2.4GHz,[ESS][Unknown]
Ground,4,Plainsboro-Public-Library,8a:15:14:53:3c:30,-47.0,108,80,5GHz,[ESS][Unknown]
Ground,4,[Hidden],8a:15:04:53:49:7f,-60.0,6,20,2.4GHz,[WEP][ESS][WEP]
Ground,4,Plainsboro-Public-Library,8a:15:04:53:49:70,-61.0,6,20,2.4GHz,[ESS][Unknown]
Ground,4,Plainsboro-Public-Library,8a:15:04:53:49:40,-62.0,6,20,2.4GHz,[ESS][Unknown]
Ground,4,Plainsboro-Public-Library,8a:15:04:53:33:90,-63.0,6,20,2.4GHz,[ESS][Unknown]
Ground,4,Plainsboro-Public-Library,8a:15:04:51:e6:20,-63.0,1,20,2.4GHz,[ESS][Unknown]
Ground,4,Plainsboro-Public-Library,8a:15:04:52:23:c0,-63.0,6,20,2.4GHz,[ESS][Unknown]
Ground,4,Plainsboro-Public-Library,8a:15:14:53:49:70,-67.0,157,40,5GHz,[ESS][Unknown]
Ground,4,[Hidden],8a:15:14:51:e6:2f,-70.0,149,20,5GHz,[WEP][ESS][WEP]
