floor,point_id,map_x,map_y,best_24_dbm,best_5_dbm,lib_bssids_24,lib_bssids_5,total_bssids
Ground,1,14.45,21.16,-41.0,-50.0,12,11,35
Ground,2,14.03,12.74,-47.0,-58.0,7,9,27
Ground,3,14.07,6.9,-41.0,-53.0,9,6,21
Ground,4,14.05,2.47,-46.0,-47.0,7,8,19
Ground,5,19.36,3.67,-40.0,-51.0,7,9,21
Ground,6,19.3,9.22,-37.0,-47.0,8,8,19
Ground,7,24.98,9.55,-35.0,-41.0,8,6,18
Ground,8,24.98,3.4,-48.0,-56.0,7,10,22
Ground,9,31.66,3.67,-41.0,-54.0,9,7,23
Ground,10,32.35,10.5,-34.0,-44.0,9,5,20
Ground,11,37.08,10.54,-36.0,-45.0,7,6,18
Ground,12,36.75,4.72,-45.0,-43.0,8,4,14
Ground,13,40.36,5.11,-41.0,-48.0,8,2,15
Ground,14,40.82,10.65,-45.0,-53.0,7,3,16
Ground,15,39.09,15.56,-36.0,-51.0,9,5,24
Ground,16,38.94,21.13,-42.0,-49.0,6,8,17
Ground,17,33.19,21.0,-45.0,-46.0,6,8,18
Ground,18,33.25,14.72,-30.0,-35.0,7,8,20
Ground,19,28.31,7.15,-45.0,-53.0,9,8,21
Ground,20,26.32,14.47,-40.0,-44.0,10,7,21
Ground,21,25.78,21.31,-44.0,-53.0,6,9,22
Ground,22,21.11,14.95,-45.0,-58.0,10,9,26
Ground,23,21.09,20.16,-44.0,-47.0,9,8,22
Ground,24,20.18,26.67,-42.0,-53.0,8,12,27
Ground,25,20.18,33.72,-49.0,-50.0,8,9,19
Ground,26,26.79,33.94,-43.0,-52.0,13,12,36
Ground,27,25.65,26.45,-62.0,-66.0,6,2,25
Ground,28,34.88,24.94,-44.0,-43.0,7,8,24
Ground,29,31.48,29.55,-40.0,-42.0,9,8,25
Ground,30,36.05,29.49,-68.0,,2,0,18
Ground,31,39.25,24.54,-39.0,-50.0,6,4,32
Ground,32,14.46,32.86,-41.0,-44.0,7,9,25
Ground,33,9.52,32.71,-51.0,-60.0,1,1,12
Ground,34,8.99,38.58,-47.0,-52.0,2,1,17
Ground,35,17.25,37.26,-38.0,-51.0,2,2,21
Ground,67,14.31,25.65,-51.0,-51.0,6,7,23
Second,36,18.41,1.7,-49.0,-60.0,10,6,24
Second,37,14.68,5.24,-41.0,-47.0,9,8,20
Second,38,16.26,8.38,-42.0,-41.0,10,6,22
Second,39,18.98,11.33,-39.0,-41.0,10,7,20
Second,40,19.73,6.27,-37.0,-38.0,10,9,26
Second,41,21.72,10.08,-41.0,-54.0,10,6,26
Second,42,23.32,4.27,-47.0,-54.0,9,9,22
Second,43,26.64,4.24,-42.0,-62.0,10,8,29
Second,44,26.88,9.99,-43.0,-55.0,6,7,20
Second,45,32.01,8.62,-39.0,-44.0,7,9,24
Second,46,31.62,5.08,-46.0,-58.0,7,6,25
Second,47,36.3,4.51,-44.0,-50.0,6,5,22
Second,48,37.23,10.39,-34.0,-41.0,7,5,21
Second,49,42.49,10.25,-36.0,-47.0,6,8,25
Second,50,42.58,4.47,-39.0,-52.0,8,5,23
Second,51,47.4,4.54,-42.0,-53.0,5,6,17
Second,52,46.99,10.63,-70.0,-62.0,2,3,15
Second,53,43.97,15.33,-48.0,-61.0,9,5,27
Second,54,39.67,13.27,-41.0,-50.0,8,9,27
Second,55,35.21,15.5,-51.0,-50.0,6,9,25
Second,56,35.16,21.58,-34.0,-54.0,6,9,24
Second,57,39.53,21.32,-39.0,-49.0,7,9,26
Second,58,43.93,20.98,-47.0,-57.0,5,7,19
Second,59,33.57,27.77,-47.0,-59.0,6,9,25
Second,60,28.39,27.77,-32.0,-63.0,5,6,21
Second,61,39.85,26.89,-38.0,-41.0,10,9,29
Second,62,45.35,26.07,-40.0,-47.0,10,10,31
Second,63,30.37,1.03,-44.0,-49.0,11,8,27
Second,64,32.54,1.34,-40.0,-55.0,9,7,23
Second,65,40.55,6.3,-43.0,-50.0,11,9,29
Second,66,50.85,25.47,-42.0,-45.0,7,7,26
